플랫폼명,구분,수수료율,정산기간,특징
못난이마켓,못난이 농산물,5.5% (결제서비스),구매확정 후 정산 (구체적 기간 미공개),"시장 최저수준 수수료, 농가 직접 가격결정, 별도 진입장벽 없음"
어글리어스,못난이 농산물,낮은 수수료율 (구체적 비율 미공개),신속한 대금 지급,"농가 직접 계약, 3회 선별, 전량 보상, 협력농가 500+"
예스어스,못난이 농산물,미공개,미공개,"판로 잃은 농산물 포함, 정기구독 3가지 사이즈"
대한민국농수산,온라인 직거래,30% 저렴한 가격 제공 (수수료율 미공개),미공개,"100% 차액환불 보증, 품질보증 시스템, 만족도 4.9/5"
마켓수,온라인 직거래,미공개,미공개,"친구초대 리워드, 바이럴 마케팅"
농가살리기,온라인 직거래,"3,000p 지급 (수수료율 미공개)",미공개,"최대 60% 할인, 친구초대 3,000p, 자사몰 중심"
돌쇠네농산물,온라인 직거래,미공개,미공개,"산지직송 전문, 트래픽 50.6만"
언니네텃밭,정기배송(CSA),"가입비 20,000원 + 월회비 (수수료 없음)",매월 마지막 목요일 CMS 출금 (선불),"여성농민 생산자조합, 제철 농산물, 회원제 운영"
농협 로컬푸드,로컬푸드 직매장,"1~20% (평균 11.3% 농산물, 11.9% 축산물)",지역별 상이 (정산기간 만족도 높음),"당일생산 당일판매, 24시간 진열제한, 전국 600+ 매장"
디어니언(파라도),B2B 플랫폼,15% 비용 절감 제공 (수수료율 미공개),미공개,"AI 가격예측, 재구매율 75%, 거래업체 1,500+"
푸드팡,B2B 플랫폼,파트너스 최대 4%,미공개,"공동구매, AI 식자재 추천, 재구매율 80%, 고객사 22,000+"
사이소(지역쇼핑몰),지역 특산물,지자체 관리 (수수료율 미공개),미공개,14개 지역별 쇼핑몰 통합 운영
농사랑(충남),지역 특산물,지자체 운영 (수수료율 미공개),미공개,충남 15개 시군 농특산물
네이버 스마트스토어,오픈마켓,3~5% (등급별 차등),일반적으로 7일 이내,"카드수수료 별도, 광고비 추가 가능"
쿠팡,오픈마켓,10.6%,"판매 후 15일 70%, 60일 30%",신선도 중요 품목에 높은 의존도
온라인도매시장,정부 플랫폼,0.3% (플랫폼) + 0.2% (정산) - 현재 면제,거래 확정 후 2일 이내,"정부 운영, 거래단계 축소, 유통비용 대폭 감소"
